Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Iota Phi Theta,8,5,2.111,2.03,35,4,0,62.84,0,Multicultural Greek Council,S23,1/1/2023
Kappa Alpha Psi,0,5,2.652,2.652,0,0,0,,,Multicultural Greek Council,S23,1/1/2023
Kappa Phi Gamma,18,4,2.959,3.206,117,7,6463,71.62,1,Multicultural Greek Council,S23,1/1/2023
Kappa Phi Lambda,26,6,3.189,2.994,140,5,883,95.27,4,Multicultural Greek Council,S23,1/1/2023
Lambda Alpha Upsilon,4,1,2.817,2.656,42,11,1357.96,,,Multicultural Greek Council,S23,1/1/2023
Lambda Pi Chi,12,6,2.825,2.57,0,0,0,76.35,2,Multicultural Greek Council,S23,1/1/2023
Lambda Sigma Upsilon,12,0,3.15,,50,4,8599.79,90.54,3,Multicultural Greek Council,S23,1/1/2023
Lambda Tau Omega,9,7,2.916,2.793,60,7,402.58,72.3,1,Multicultural Greek Council,S23,1/1/2023
Lambda Theta Phi,12,5,2.631,2.578,0,0,0,64.86,0,Multicultural Greek Council,S23,1/1/2023
Phi Chi Theta,76,18,3.51,3.549,300,4,4421.06,76.35,2,Professional Fraternity Council,S23,1/1/2023
Alpha Sigma Phi,42,12,3.222,3.357,199,5,857.5,68.92,0,Interfraternity Council,S23,1/1/2023
Phi Delta Epsilon,81,17,3.64,3.565,981,12,4008,70.27,1,Professional Fraternity Council,S23,1/1/2023
Delta Upsilon,23,4,3.008,3.098,123,5,3795,66.22,0,Interfraternity Council,S23,1/1/2023
Kappa Sigma,59,23,3.162,3.214,1788.5,30,1070,,,Interfraternity Council,S23,1/1/2023
Phi Gamma Delta,21,7,3.152,3.144,19,1,850,72.3,1,Interfraternity Council,S23,1/1/2023
Phi Kappa Psi,26,14,3.233,3.054,192,7,3126,72.3,1,Interfraternity Council,S23,1/1/2023
Phi Kappa Tau,33,2,3.105,3.516,2,0.1,1857.01,58.11,0,Interfraternity Council,S23,1/1/2023
Phi Mu Delta,33,12,3.416,3.605,251,8,3123,75.68,2,Interfraternity Council,S23,1/1/2023
Phi Sigma Kappa,23,4,3.235,3.025,303,13,3239,79.73,2,Interfraternity Council,S23,1/1/2023
Pi Kappa Phi,63,19,3.119,3.04,381.5,6,1050,81.08,2,Interfraternity Council,S23,1/1/2023
Sigma Alpha Epsilon,68,20,3.22,3.202,2,0,5376,91.67,3,Interfraternity Council,S23,1/1/2023
Sigma Beta Rho,14,1,2.909,,207.5,15,750,82.43,2,Interfraternity Council,S23,1/1/2023
Sigma Chi,61,18,3.33,3.419,361,6,2200,71.62,1,Interfraternity Council,S23,1/1/2023
Sigma Phi Epsilon,32,8,3.223,3.076,107.5,3,1150,62.84,0,Interfraternity Council,S23,1/1/2023
Sigma Pi,15,3,3.19,2.702,3,0.1,1000,52.03,0,Interfraternity Council,S23,1/1/2023
Zeta Beta Tau,49,11,3.389,3.483,2,0,1500,58.11,0,Interfraternity Council,S23,1/1/2023
Zeta Psi,65,30,3.318,3.491,138,2,1885,,,Interfraternity Council,S23,1/1/2023
Delta Phi,88,18,3.244,3.083,292,3,875,62.16,0,Interfraternity Council,S23,1/1/2023
Phi Delta Chi,102,15,3.458,3.352,524,5,7478.21,81.08,2,Professional Fraternity Council,S23,1/1/2023
Delta Chi,38,10,3.237,3.053,321,8,1739.3,79.05,2,Interfraternity Council,S23,1/1/2023
Chi Phi,95,19,3.012,3.079,704,7,9125,75.68,2,Interfraternity Council,S23,1/1/2023
Phi Sigma Pi,65,16,3.731,3.73,65,1,2938.6,91.89,3,Professional Fraternity Council,S23,1/1/2023
Theta Tau,66,14,3.302,2.987,330,7,11652.47,56.76,0,Professional Fraternity Council,S23,1/1/2023
Alpha Chi Omega,130,41,3.447,3.397,1707,13,19841.93,89.86,3,Panhellenic Council,S23,1/1/2023
Alpha Gamma Delta,114,33,3.436,3.313,797.5,8,7053,86.49,3,Panhellenic Council,S23,1/1/2023
Alpha Omega Epsilon,30,8,3.389,3.277,93,3,1665.5,83.78,2,Panhellenic Council,S23,1/1/2023
Delta Gamma,99,27,3.508,3.426,1006,10,22726,78.38,2,Panhellenic Council,S23,1/1/2023
Gamma Phi Beta,132,35,3.385,3.333,847.5,6,15089.72,78.38,2,Panhellenic Council,S23,1/1/2023
Omega Phi Alpha,72,17,3.611,3.572,110,2,4516.8,69.59,0,Panhellenic Council,S23,1/1/2023
Phi Mu,129,38,3.487,3.547,1615.5,13,36844.26,90.54,3,Panhellenic Council,S23,1/1/2023
Phi Sigma Rho,36,7,3.303,3.015,104,3,2240.34,81.76,2,Panhellenic Council,S23,1/1/2023
Phi Sigma Sigma,138,33,3.42,3.472,1301,9,49246,78.38,2,Panhellenic Council,S23,1/1/2023
Sigma Delta Tau,129,35,3.436,3.397,1126,9,16164.73,86.49,3,Panhellenic Council,S23,1/1/2023
Zeta Tau Alpha,135,36,3.415,3.453,843,6,19342.62,90.54,3,Panhellenic Council,S23,1/1/2023
Alpha Kappa Lambda,14,2,2.769,3.711,36,3,1652.25,46.62,0,Interfraternity Council,S23,1/1/2023
Alpha Phi Delta,17,10,2.735,2.996,0,0,0,35.81,0,Interfraternity Council,S23,1/1/2023
Chi Psi,85,19,3.419,3.456,462,5,37297.33,79.73,2,Interfraternity Council,S23,1/1/2023
alpha Kappa Delta Phi,22,4,3.151,3.508,153,7,0,87.16,3,Multicultural Greek Council,S23,1/1/2023
