Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Lambda Upsilon Lambda,19,,2.774,3.054,91,4.8,0,90,4,Multicultural Greek Council,S17,1/1/2017
Nu Alpha Phi,16,,3.27,3.293,168,10.5,910.54,73,2,Multicultural Greek Council,S17,1/1/2017
Omega Phi Beta,19,,2.869,2.845,125,6.6,0,,,Multicultural Greek Council,S17,1/1/2017
Omega Phi Chi,19,,3.298,3.291,198,10.4,483,93,4,Multicultural Greek Council,S17,1/1/2017
Omega Psi Phi,6,,2.019,,0,0,0,22,0,Multicultural Greek Council,S17,1/1/2017
Kappa Phi Lambda,24,,3.091,2.37,571.5,23.8,642,89,3,Multicultural Greek Council,S17,1/1/2017
Pi Delta Psi,21,,2.807,2.3,208,9.9,475,46,0,Multicultural Greek Council,S17,1/1/2017
Sigma Lambda Beta,10,,2.496,2.285,61,6.1,0,59,0,Multicultural Greek Council,S17,1/1/2017
Sigma Lambda Gamma,11,,2.64,2.468,96,8.7,,79,2,Multicultural Greek Council,S17,1/1/2017
Sigma Lambda Upsilon,8,,3.17,3,160,20,,89,3,Multicultural Greek Council,S17,1/1/2017
Sigma Psi Zeta,19,,3.088,3.055,289.5,15.2,2250,88,3,Multicultural Greek Council,S17,1/1/2017
Sigma Sigma Rho,15,,3.004,,280.5,18.7,1131,72,2,Multicultural Greek Council,S17,1/1/2017
Zeta Phi Beta,18,,3.116,3.116,0,0,0,,,Multicultural Greek Council,S17,1/1/2017
Alpha Gamma Delta,129,,3.298,3.277,1298.5,10.1,17446.2,,,Panhellenic Council,S17,1/1/2017
Alpha Omega Epsilon,42,,3.177,2.911,664.5,15.8,5931,83,3,Panhellenic Council,S17,1/1/2017
Phi Beta Sigma,12,,2.629,2.42,42.5,3.5,250,63,0,Multicultural Greek Council,S17,1/1/2017
Phi Mu,102,,3.514,3.625,503,4.9,0,75,2,Panhellenic Council,F17,9/1/2017
Omega Phi Alpha,76,,3.423,3.247,1066,14,161,81,3,Panhellenic Council,F17,9/1/2017
Zeta Phi Beta,18,,3.125,,182,10.1,260,,,Multicultural Greek Council,F17,9/1/2017
Delta Gamma,100,,3.485,3.308,537,5.4,3004,85,3,Panhellenic Council,F17,9/1/2017
Alpha Omega Epsilon,31,,3.306,3.09,255,8.2,185,83,3,Panhellenic Council,F17,9/1/2017
Alpha Gamma Delta,97,,3.37,3.413,1022,10.5,120,61,0,Panhellenic Council,F17,9/1/2017
Gamma Phi Beta,111,,3.404,3.308,1563,14.1,5157,81,3,Panhellenic Council,F17,9/1/2017
Phi Sigma Rho,29,,3.24,2.819,259,8.9,55,92,4,Panhellenic Council,F17,9/1/2017
Sigma Kappa,82,,3.423,3.073,31,0.4,0,88,3,Panhellenic Council,F17,9/1/2017
Sigma Alpha Epsilon Pi,22,,3.368,3.1,62,2.8,0,,,Panhellenic Council,F17,9/1/2017
Sigma Delta Tau,120,,3.367,,1723,14.4,21577,77,2,Panhellenic Council,F17,9/1/2017
Zeta Tau Alpha,105,,3.403,,935,8.9,4444,93,4,Panhellenic Council,F17,9/1/2017
Alpha Kappa Psi,77,,3.024,2.429,466,6.1,0,48,0,Professional Fraternity Council,F17,9/1/2017
Alpha Phi Omega,164,,3.21,3.094,3220,19.6,0,73,2,Professional Fraternity Council,F17,9/1/2017
Alpha Zeta,70,,3.296,3.025,128,1.8,100,71,2,Professional Fraternity Council,F17,9/1/2017
Alpha Zeta Omega,88,,3.349,3.307,626,7.1,687,89,3,Professional Fraternity Council,F17,9/1/2017
Sigma Sigma Rho,11,,3.148,3.316,60,5.5,287,72,2,Multicultural Greek Council,F17,9/1/2017
Phi Sigma Sigma,112,,3.436,,668,6,18498,90,4,Panhellenic Council,F17,9/1/2017
